A1BG-AS1
AC000068.5
AC000120.7
AC002116.8
AC002310.12
AC002331.1
AC003005.2
AC003092.1
AC003104.1
AC003665.1
AC004257.3
AC004383.4
AC004696.2
AC005062.2
AC005076.5
AC005082.12
AC005083.1
AC005152.2
AC005154.5
AC005154.6
AC005307.3
AC005519.4
AC005532.5
AC005537.2
AC005540.3
AC005550.4
AC005562.1
AC005786.7
AC005863.1
AC005943.5
AC006129.2
AC006262.5
AC006445.8
AC007036.5
AC007038.7
AC007040.11
AC007040.7
AC007228.9
AC007246.3
AC007255.7
AC007566.10
AC007682.1
AC009133.15
AC009299.3
AC009501.4
AC009948.5
AC010226.4
AC010729.1
AC011893.3
AC012065.7
AC012146.7
AC012307.3
AC012360.4
AC013268.5
AC015849.16
AC016629.8
AC016683.6
AC016747.3
AC017048.3
AC017116.11
AC018737.1
AC018766.4
AC021016.6
AC025171.1
AC025335.1
AC027269.2
AC034220.3
AC058791.1
AC058791.2
AC062029.1
AC068491.1
AC068610.3
AC069277.2
AC069278.4
AC069513.3
AC074093.1
AC074117.10
AC074286.1
AC078852.1
AC079117.1
AC079767.2
AC079767.4
AC079922.3
AC083843.1
AC084018.1
AC084082.3
AC084219.4
AC084809.3
AC090587.2
AC091729.9
AC091878.1
AC092535.3
AC092835.2
AC093323.3
AC093375.1
AC093627.10
AC093642.3
AC093734.13
AC093734.14
AC096579.7
AC096772.6
AC097662.2
AC104389.28
AC105760.2
AC107072.2
AC108004.3
AC108142.1
AC108488.3
AC108488.4
AC112229.7
AC113189.5
AC121336.2
AC135048.13
AC141846.4
AC142401.2
AC156455.1
AD000090.2
ADIRF-AS1
AF001548.5
AF011889.4
AF011889.5
AF011889.6
AF127936.7
AF131215.9
AF131216.6
AF146191.4
AGBL4-IT1
AJ271736.10
AL022344.4
AL136419.6
AL163636.6
AL449209.1
AL589743.1
ALMS1-IT1
AP000265.1
AP000304.2
AP000318.2
AP000469.2
AP000525.9
AP000662.4
AP000721.4
AP000783.2
AP001046.5
AP001062.7
AP001065.15
AP001065.2
AP001172.2
AP001372.2
AP001469.9
AP001619.2
AP003774.1
AP006222.2
APCDD1L-AS1
ASB16-AS1
ASH1L-AS1
BAIAP2-AS1
BCDIN3D-AS1
BOLA3-AS1
BX322557.10
BZRAP1-AS1
C11orf95
C14orf169
C17orf76-AS1
C1RL-AS1
CASC2
CASP8AP2
CBR3-AS1
CCAT1
CDKN2B-AS1
CECR7
CERS6-AS1
COL4A2-AS2
COX10-AS1
CRNDE
CROCCP2
CT49
CTA-204B4.6
CTA-211A9.5
CTA-217C2.1
CTA-250D10.23
CTA-445C9.14
CTB-102L5.7
CTB-104F4.2
CTB-131B5.2
CTB-131B5.4
CTB-175P5.4
CTB-25B13.12
CTB-25B13.13
CTB-25J19.9
CTB-31O20.2
CTB-50E14.6
CTB-50L17.7
CTB-60E11.4
CTB-89H12.4
CTB-92J24.2
CTB-96E2.3
CTBP1-AS1
CTC-228N24.3
CTC-241F20.3
CTC-246B18.8
CTC-273B12.6
CTC-273B12.8
CTC-281B15.1
CTC-308K20.1
CTC-338M12.2
CTC-338M12.3
CTC-429L19.3
CTC-429P9.3
CTC-444N24.11
CTC-444N24.8
CTC-451A6.4
CTC-459F4.3
CTC-459F4.5
